formatted_date,XIU.TO,HXT.TO,VCN.TO,XUU.TO,ZCN.TO
2011-07-21,19.229999542236328,22.1200008392334,,,18.1200008392334
2011-07-22,19.309999465942383,22.18000030517578,,,18.190000534057617
2011-07-25,19.209999084472656,22.059999465942383,,,18.110000610351562
2011-07-26,18.959999084472656,21.799999237060547,,,17.93000030517578
2011-07-27,18.56999969482422,21.360000610351562,,,17.579999923706055
2011-07-28,18.559999465942383,21.31999969482422,,,17.520000457763672
2011-07-29,18.40999984741211,21.139999389648438,,,17.389999389648438
2011-08-02,18.100000381469727,20.760000228881836,,,17.18000030517578
2011-08-03,18.200000762939453,20.899999618530273,,,17.15999984741211
2011-08-04,17.639999389648438,20.239999771118164,,,16.600000381469727
2011-08-05,17.360000610351562,19.899999618530273,,,16.389999389648438
2011-08-08,16.670000076293945,19.139999389648438,,,15.739999771118164
2011-08-09,17.3700008392334,19.940000534057617,,,15.930000305175781
2011-08-10,17.40999984741211,20.0,,,16.459999084472656
2011-08-11,17.969999313354492,20.6200008392334,,,16.81999969482422
2011-08-12,17.969999313354492,20.6200008392334,,,17.0
2011-08-15,18.170000076293945,20.8799991607666,,,17.15999984741211
2011-08-16,17.989999771118164,20.600000381469727,,,16.950000762939453
2011-08-17,18.040000915527344,20.760000228881836,,,17.040000915527344
2011-08-18,17.459999084472656,20.040000915527344,,,16.40999984741211
2011-08-19,17.139999389648438,19.719999313354492,,,16.25
2011-08-22,17.25,19.799999237060547,,,16.270000457763672
2011-08-23,17.719999313354492,20.34000015258789,,,16.670000076293945
2011-08-24,17.790000915527344,20.399999618530273,,,16.760000228881836
2011-08-25,17.6299991607666,20.260000228881836,,,16.649999618530273
2011-08-26,17.670000076293945,20.299999237060547,,,16.68000030517578
2011-08-29,17.940000534057617,20.600000381469727,,,16.93000030517578
2011-08-30,18.09000015258789,20.780000686645508,,,17.100000381469727
2011-08-31,18.290000915527344,21.0,,,17.149999618530273
2011-09-01,18.219999313354492,20.959999084472656,,,17.290000915527344
2011-09-02,18.079999923706055,20.760000228881836,,,17.079999923706055
2011-09-06,17.989999771118164,20.639999389648438,,,16.8700008392334
2011-09-07,18.280000686645508,20.979999542236328,,,17.229999542236328
2011-09-08,18.18000030517578,20.899999618530273,,,17.190000534057617
2011-09-09,17.75,20.399999618530273,,,16.780000686645508
2011-09-12,17.43000030517578,20.0,,,16.34000015258789
2011-09-13,17.459999084472656,20.059999465942383,,,16.530000686645508
2011-09-14,17.600000381469727,20.219999313354492,,,16.700000762939453
2011-09-15,17.829999923706055,20.420000076293945,,,16.809999465942383
2011-09-16,17.579999923706055,20.200000762939453,,,16.639999389648438
2011-09-19,17.43000030517578,20.020000457763672,,,16.450000762939453
2011-09-20,17.469999313354492,20.020000457763672,,,16.479999542236328
2011-09-21,17.059999465942383,19.579999923706055,,,16.3700008392334
2011-09-22,16.530000686645508,18.979999542236328,,,15.449999809265137
2011-09-23,16.503999618530273,18.899999618530273,,,15.479999542236328
2011-09-26,16.826028579759114,19.360000610351562,,,15.59000015258789
2011-09-27,17.037361285218054,19.540000915527344,,,16.067000038146972
2011-09-28,16.695205034051405,19.139999389648438,,,16.006597360078917
2011-09-29,16.906535820066328,19.360000610351562,,,15.805256699965394
2011-09-30,16.765648629389712,19.260000228881836,,,15.795189426942718
2011-10-03,16.25241425263974,18.65999984741211,,,15.33210542864762
2011-10-04,16.20209794723924,18.6200008392334,,,14.879088703375198
2011-10-05,16.665014099144695,19.1200008392334,,,15.704586849942633
2011-10-06,17.10780488055636,19.6200008392334,,,16.087133624124323
2011-10-07,16.815964934790212,19.280000686645508,,,15.905927510056154
2011-10-11,17.198375765832473,19.739999771118164,,,16.21800625328311
2011-10-12,17.3795175363847,19.959999084472656,,,16.379078781373927
2011-10-13,17.137995815463068,19.68000030517578,,,16.19787170723776
2011-10-14,17.429833841785204,20.040000915527344,,,16.429413226351308
2011-10-17,17.198375765832473,19.760000228881836,,,16.207938980260433
2011-10-18,17.359390246446896,19.959999084472656,,,16.419345953328634
2011-10-19,17.087677590618554,19.600000381469727,,,16.1374699892377
2011-10-20,17.05748857515586,19.600000381469727,,,16.087133624124323
2011-10-21,17.26881936117078,19.799999237060547,,,16.238138879192466
2011-10-24,17.530468372030217,20.100000381469727,,,16.53008403644207
2011-10-25,17.439897486754106,20.0,,,16.52001676341939
2011-10-26,17.540532016999123,20.15999984741211,,,16.55021858248742
2011-10-27,18.00344816890458,20.6200008392334,,,16.973034448759815
2011-10-28,18.023575458842384,20.719999313354492,,,17.03343616675987
2011-10-31,17.64116654724414,20.299999237060547,,,16.832094546578354
2011-11-01,17.389581181353606,19.959999084472656,,,16.419345953328634
2011-11-02,17.560659306936927,20.200000762939453,,,16.610620300487476
2011-11-03,17.953131863504076,20.600000381469727,,,16.922698083646438
2011-11-04,17.852497333259063,20.459999084472656,,,16.832094546578354
2011-11-07,17.933004573566272,20.579999923706055,,,16.91263081062376
2011-11-08,17.96319550847298,20.639999389648438,,,16.962967175737138
2011-11-09,17.470088421660815,20.079999923706055,,,16.489814944351366
2011-11-10,17.409706551847396,20.0,,,16.429413226351308
2011-11-11,17.671355562706832,20.260000228881836,,,16.711291110578237
2011-11-14,17.600911967368525,20.200000762939453,,,16.55021858248742
2011-11-15,17.570721032461815,20.239999771118164,,,16.640822119555505
2011-11-16,17.510341082092413,20.100000381469727,,,16.58041848141945
2011-11-17,17.137995815463068,19.68000030517578,,,16.127402716215027
2011-11-18,17.117868525525264,19.639999389648438,,,16.1374699892377
