formatted_date,ACZ.TO,ATSX.TO,BASE-B.TO,BASE.TO,BDIV.TO,BESG.TO,BGC.TO,BGU.TO,BLCK.TO,BLOV.TO,BNC.TO,BND.TO,BPRF.TO,BREA.TO,BXF.TO,CACB.TO,CAGG.TO,CAGS.TO,CALL.TO,CARS-B.TO,CARS.TO,CBH.TO,CBO.TO,CDLB-B.TO,CDZ.TO,CEW.TO,CFLX.TO,CGAA.TO,CGL-C.TO,CGL.TO,CGLO.TO,CGR.TO,CGXF.TO,CHB.TO,CHNA-B.TO,CIBR.TO,CIC.TO,CIF.TO,CINF.TO,CINT.TO,CLF.TO,CLG.TO,CMAG.TO,CMAR.TO,CMCE.TO,CMEY.TO,CMR.TO,CMUE.TO,COMM.TO,COW.TO,CPD.TO,CRED.TO,CSAV.TO,CSD.TO,CSY.TO,CUD.TO,CVD.TO,CWW.TO,CXF.TO,CYBR-B.TO,CYBR.TO,CYH.TO,DANC.TO,DCC.TO,DCG.TO,DCP.TO,DCS.TO,DCU.TO,DFC.TO,DFD.TO,DFE.TO,DFU.TO,DGR-B.TO,DGR.TO,DGRC.TO,DISC.TO,DIVS.TO,DLR.TO,DQD.TO,DQI.TO,DRCU.TO,DRFC.TO,DRFE.TO,DRFG.TO,HXS.TO,ZQQ.TO
2011-07-12,,,,,,,,,,,,,,,,,,,,,,,20.469999313354492,,21.549999237060547,7.690000057220459,,24.1807918548584,,14.170000076293945,,17.719999313354492,39.959999084472656,20.799999237060547,,,,17.792339324951172,,,20.170000076293945,,,,,,50.0099983215332,,,21.450000762939453,17.43000030517578,,,,27.56999969482422,,20.260000228881836,15.770000457763672,,,,17.120418548583984,,,,,,,,,,,,,,,,9.698249816894531,,,,,,,5.630000114440918,18.229999542236328
2011-07-13,,,,,,,,,,,,,,,,,,,,,,,20.440000534057617,,21.639999389648438,7.699999809265137,,24.26553726196289,,14.260000228881836,,17.440000534057617,41.279998779296875,20.860000610351562,,,,17.792339324951172,,,20.1200008392334,,,,,,50.0099983215332,,,21.600000381469727,17.440000534057617,,,,27.65999984741211,,20.280000686645508,15.899999618530273,,,,17.329843521118164,,,,,,,,,,,,,,,,9.627900123596191,,,,,,,5.675000190734863,18.25
2011-07-14,,,,,,,,,,,,,,,,,,,,,,,20.389999389648438,,21.610000610351562,7.639999866485596,,24.1807918548584,,14.279999732971191,,17.440000534057617,40.68000030517578,20.850000381469727,,,,17.580644607543945,,,20.110000610351562,,,,,,50.02000045776367,,,21.3700008392334,17.440000534057617,,,,27.479999542236328,,20.239999771118164,15.699999809265137,,,,17.057592391967773,,,,,,,,,,,,,,,,9.627900123596191,,,,,,,5.679999828338623,18.059999465942383
2011-07-15,,,,,,,,,,,,,,,,,,,,,,,20.469999313354492,,21.690000534057617,7.630000114440918,,24.26553726196289,,14.359999656677246,,17.440000534057617,40.599998474121094,20.8700008392334,,,,17.5,,,20.15999984741211,,,,,,50.02000045776367,,,21.360000610351562,17.40999984741211,,,,27.450000762939453,,20.239999771118164,15.5,,,,17.130889892578125,,,,,,,,,,,,,,,,9.557550430297852,,,,,,,5.610000133514404,18.239999771118164
2011-07-18,,,,,,,,,,,,,,,,,,,,,,,20.469999313354492,,21.610000610351562,7.519999980926514,,24.26553726196289,,14.479999542236328,,17.329999923706055,41.439998626708984,20.790000915527344,,,,17.74193572998047,,,20.190000534057617,,,,,,50.029998779296875,,,21.170000076293945,17.420000076293945,,,,27.540000915527344,,20.260000228881836,15.289999961853027,,,,16.900524139404297,,,,,,,,,,,,,,,,9.557550430297852,,,,,,,5.579999923706055,18.200000762939453
2011-07-19,,,,,,,,,,,,,,,,,,,,,,,20.440000534057617,,21.649999618530273,7.539999961853027,,23.87005615234375,,14.300000190734863,,17.239999771118164,40.79999923706055,20.950000762939453,,,,17.691532135009766,,,20.15999984741211,,,,,,50.029998779296875,,,21.360000610351562,17.450000762939453,,,,27.600000381469727,,20.260000228881836,15.329999923706055,,,,17.036649703979492,,,,,,,,,,,,,,,,9.537449836730957,,,,,,,5.684999942779541,18.610000610351562
2011-07-20,,,,,,,,,,,,,,,,,,,,,,,20.40999984741211,,21.600000381469727,7.599999904632568,,23.954801559448242,,14.40999984741211,,17.399999618530273,41.0,20.93000030517578,,,,17.691532135009766,,,20.1299991607666,,,,,,50.029998779296875,,,21.420000076293945,17.450000762939453,,,,27.75,,20.219999313354492,15.649999618530273,,,,17.183246612548828,,,,,,,,,,,,,,,,9.50730037689209,,,,,,,5.684999942779541,18.5
2011-07-21,,,,,,,,,,,,,,,,,,,,,,,20.389999389648438,,21.799999237060547,7.639999866485596,,23.954801559448242,,14.300000190734863,,17.5,40.79999923706055,21.06999969482422,,,,17.872983932495117,,,20.110000610351562,,,,,,50.02000045776367,,,21.719999313354492,17.43000030517578,,,,27.809999465942383,,20.290000915527344,15.710000038146973,,,,17.49738121032715,,,,,,,,,,,,,,,,9.487199783325195,,,,,,,5.755000114440918,18.670000076293945
2011-07-22,,,,,,,,,,,,,,,,,,,,,,,20.450000762939453,,21.84000015258789,7.690000057220459,,24.01129913330078,,14.420000076293945,,17.68000030517578,41.20000076293945,21.09000015258789,,,,18.024194717407227,,,20.1299991607666,,,,,,50.040000915527344,,,21.799999237060547,17.469999313354492,,,,27.899999618530273,,20.309999465942383,15.710000038146973,,,,17.4764404296875,,,,,,,,,,,,,,,,9.547499656677246,,,,,,,5.769999980926514,18.899999618530273
2011-07-25,,,,,,,,,,,,,,,,,,,,,,,20.440000534057617,,21.75,7.650000095367432,,24.01129913330078,,14.539999961853027,,17.450000762939453,41.20000076293945,20.93000030517578,,,,17.94354820251465,,,20.149999618530273,,,,,,50.02000045776367,,,21.93000030517578,17.479999542236328,,,,27.989999771118164,,20.309999465942383,15.710000038146973,,,,17.392669677734375,,,,,,,,,,,,,,,,9.487199783325195,,,,,,,5.715000152587891,18.81999969482422
