formatted_date,HXS.TO,EQL.TO,HSH.TO,ULV-C.TO,ULV-F.TO,VFV.TO,VSP.TO,XSP.TO,XUS.TO,ZSP-U.TO,ZSP.TO,ZUE.TO,HULC.TO,VUN.TO,VUS.TO
2011-07-21,5.755000114440918,,,,,,,15.40999984741211,,,,20.770000457763672,,,
2011-07-22,5.769999980926514,,,,,,,15.420000076293945,,,,20.739999771118164,,,
2011-07-25,5.715000152587891,,,,,,,15.34000015258789,,,,20.670000076293945,,,
2011-07-26,5.715000152587891,,,,,,,15.279999732971191,,,,20.6299991607666,,,
2011-07-27,5.599999904632568,,,,,,,15.0,,,,20.219999313354492,,,
2011-07-28,5.625,,,,,,,14.949999809265137,,,,20.260000228881836,,,
2011-07-29,5.545000076293945,,,,,,,14.850000381469727,,,,20.020000457763672,,,
2011-08-02,5.389999866485596,,,,,,,14.40999984741211,,,,19.559999465942383,,,
2011-08-03,5.360000133514404,,,,,,,14.489999771118164,,,,19.530000686645508,,,
2011-08-04,5.150000095367432,,,,,,,13.770000457763672,,,,18.600000381469727,,,
2011-08-05,5.144999980926514,,,,,,,13.779999732971191,,,,18.520000457763672,,,
2011-08-08,4.864999771118164,,,,,,,12.829999923706055,,,,17.389999389648438,,,
2011-08-09,4.945000171661377,,,,,,,13.460000038146973,,,,17.700000762939453,,,
2011-08-10,4.78000020980835,,,,,,,12.819999694824219,,,,17.700000762939453,,,
2011-08-11,4.994999885559082,,,,,,,13.40999984741211,,,,18.260000228881836,,,
2011-08-12,5.050000190734863,,,,,,,13.529999732971191,,,,18.43000030517578,,,
2011-08-15,5.050000190734863,,,,,,,13.829999923706055,,,,18.6200008392334,,,
2011-08-16,5.125,,,,,,,13.699999809265137,,,,18.489999771118164,,,
2011-08-17,5.090000152587891,,,,,,,13.710000038146973,,,,18.530000686645508,,,
2011-08-18,4.875,,,,,,,13.069999694824219,,,,17.600000381469727,,,
2011-08-19,4.809999942779541,,,,,,,12.880000114440918,,,,17.399999618530273,,,
2011-08-22,4.864999771118164,,,,,,,12.850000381469727,,,,17.469999313354492,,,
2011-08-23,4.804999828338623,,,,,,,13.329999923706055,,,,18.0,,,
2011-08-24,5.019999980926514,,,,,,,13.520000457763672,,,,18.079999923706055,,,
2011-08-25,5.065000057220459,,,,,,,13.279999732971191,,,,18.030000686645508,,,
2011-08-26,4.900000095367432,,,,,,,13.510000228881836,,,,18.18000030517578,,,
2011-08-29,5.170000076293945,,,,,,,13.90999984741211,,,,18.739999771118164,,,
2011-08-30,5.164999961853027,,,,,,,13.949999809265137,,,,18.799999237060547,,,
2011-08-31,5.199999809265137,,,,,,,14.039999961853027,,,,18.899999618530273,,,
2011-09-01,5.164999961853027,,,,,,,13.859999656677246,,,,18.709999084472656,,,
2011-09-02,5.03000020980835,,,,,,,13.510000228881836,,,,18.15999984741211,,,
2011-09-06,4.90500020980835,,,,,,,13.40999984741211,,,,18.06999969482422,,,
2011-09-07,5.119999885559082,,,,,,,13.789999961853027,,,,18.610000610351562,,,
2011-09-08,5.125,,,,,,,13.649999618530273,,,,18.360000610351562,,,
2011-09-09,5.125,,,,,,,13.279999732971191,,,,17.8700008392334,,,
2011-09-12,4.96999979019165,,,,,,,13.359999656677246,,,,17.770000457763672,,,
2011-09-13,5.0,,,,,,,13.510000228881836,,,,18.110000610351562,,,
2011-09-14,5.110000133514404,,,,,,,13.699999809265137,,,,18.6200008392334,,,
2011-09-15,5.110000133514404,,,,,,,13.920000076293945,,,,18.770000457763672,,,
2011-09-16,5.199999809265137,,,,,,,13.989999771118164,,,,18.790000915527344,,,
2011-09-19,5.199999809265137,,,,,,,13.859999656677246,,,,18.559999465942383,,,
2011-09-20,5.199999809265137,,,,,,,13.859999656677246,,,,18.700000762939453,,,
2011-09-21,5.110000133514404,,,,,,,13.4399995803833,,,,18.389999389648438,,,
2011-09-22,4.809999942779541,,,,,,,12.979999542236328,,,,17.389999389648438,,,
2011-09-23,4.860000133514404,,,,,,,13.050000190734863,,,,17.59000015258789,,,
2011-09-26,4.960000038146973,,,,,,,13.350000381469727,,,,17.59000015258789,,,
2011-09-27,5.090000152587891,,,,,,,13.520000457763672,,,,18.4610008392334,,,
2011-09-28,5.0,,,,,,,13.229999542236328,,,,18.099216883533696,,,
2011-09-29,4.889999866485596,,,,,,,13.319999694824219,,,,18.099216883533696,,,
2011-09-30,4.849999904632568,,,,,,,12.960000038146973,,,,17.636937171606615,,,
2011-10-03,4.715000152587891,,,,,,,12.609999656677246,,,,17.07416362024928,,,
2011-10-04,4.650000095367432,,,,,,,12.899999618530273,,,,16.822925188079402,,,
2011-10-05,4.860000133514404,,,,,,,13.130000114440918,,,,17.546491182681688,,,
2011-10-06,4.940000057220459,,,,,,,13.380000114440918,,,,17.878127753271166,,,
2011-10-07,5.0,,,,,,,13.260000228881836,,,,17.96857182539897,,,
2011-10-11,5.125,,,,,,,13.720000267028809,,,,17.96857182539897,,,
2011-10-12,5.199999809265137,,,,,,,13.859999656677246,,,,18.742386656513503,,,
2011-10-13,5.150000095367432,,,,,,,13.8100004196167,,,,18.5715444459661,,,
2011-10-14,5.150000095367432,,,,,,,14.029999732971191,,,,18.5715444459661,,,
2011-10-17,5.179999828338623,,,,,,,13.770000457763672,,,,18.742386656513503,,,
2011-10-18,5.179999828338623,,,,,,,14.050000190734863,,,,18.762486191118406,,,
2011-10-19,5.239999771118164,,,,,,,13.869999885559082,,,,18.712239271403277,,,
2011-10-20,5.139999866485596,,,,,,,13.949999809265137,,,,18.782585725723305,,,
