formatted_date,HXX.TO,EHE.TO,EUR-A.TO,EUR.TO,MEU.TO,RPD.TO,RPDH.TO,RWE-B.TO,RWE.TO,VE.TO,XEH.TO,XEU.TO,ZEQ.TO,ZWE.TO,ZWP.TO,VUS.TO
2012-05-31,,,,,,,,,,,,,,,,26.177705389474717
2012-06-01,,,,,,,,,,,,,,,,25.515486858941717
2012-06-04,,,,,,,,,,,,,,,,25.485385320731872
2012-06-05,,,,,,,,,,,,,,,,25.736225731199234
2012-06-06,,,,,,,,,,,,,,,,26.15763769733482
2012-06-07,,,,,,,,,,,,,,,,26.278041936413754
2012-06-08,,,,,,,,,,,,,,,,26.44861349208198
2012-06-11,,,,,,,,,,,,,,,,26.35831079121289
2012-06-12,,,,,,,,,,,,,,,,26.41851195387213
2012-06-13,,,,,,,,,,,,,,,,26.187739235544665
2012-06-14,,,,,,,,,,,,,,,,26.48874696260132
2012-06-15,,,,,,,,,,,,,,,,26.68942005647939
2012-06-18,,,,,,,,,,,,,,,,26.839923920007717
2012-06-19,,,,,,,,,,,,,,,,27.15096549313432
2012-06-20,,,,,,,,,,,,,,,,27.06066279226523
2012-06-21,,,,,,,,,,,,,,,,26.508814654741215
2012-06-22,,,,,,,,,,,,,,,,26.629218893820152
2012-06-25,,,,,,,,,,,,,,,,26.22687049267841
2012-06-26,,,,,,,,,,,,,,,,26.358307311621658
2012-06-27,,,,,,,,,,,,,,,,26.59085041429768
2012-06-28,,,,,,,,,,,,,,,,26.459413595354437
2012-06-29,,,,,,,,,,,,,,,,27.21770783068736
2012-07-03,,,,,,,,,,,,,,,,27.662574322046424
2012-07-04,,,,,,,,,,,,,,,,27.854674139852552
2012-07-05,,,,,,,,,,,,,,,,27.46036175458086
2012-07-06,,,,,,,,,,,,,,,,27.15704483182448
2012-07-09,,,,,,,,,,,,,,,,27.035716905656745
2012-07-10,,,,,,,,,,,,,,,,26.82339544541567
2012-07-11,,,,,,,,,,,,,,,,26.793062981763246
2012-07-12,,,,,,,,,,,,,,,,26.793062981763246
