formatted_date,ZQQ.TO,XQQ.TO,HXQ.TO,HXS.TO
2011-07-21,18.670000076293945,20.139999389648438,,5.755000114440918
2011-07-22,18.899999618530273,20.200000762939453,,5.769999980926514
2011-07-25,18.81999969482422,20.299999237060547,,5.715000152587891
2011-07-26,18.8700008392334,20.3799991607666,,5.715000152587891
2011-07-27,18.3799991607666,19.950000762939453,,5.599999904632568
2011-07-28,18.440000534057617,19.899999618530273,,5.625
2011-07-29,18.389999389648438,19.899999618530273,,5.545000076293945
2011-08-02,17.829999923706055,19.309999465942383,,5.389999866485596
2011-08-03,18.0,19.309999465942383,,5.360000133514404
2011-08-04,17.190000534057617,18.5,,5.150000095367432
2011-08-05,17.0,18.389999389648438,,5.144999980926514
2011-08-08,16.0,17.350000381469727,,4.864999771118164
2011-08-09,16.530000686645508,17.469999313354492,,4.945000171661377
2011-08-10,16.139999389648438,17.5,,4.78000020980835
2011-08-11,16.950000762939453,17.979999542236328,,4.994999885559082
2011-08-12,16.93000030517578,18.239999771118164,,5.050000190734863
2011-08-15,17.149999618530273,18.31999969482422,,5.050000190734863
2011-08-16,17.079999923706055,18.170000076293945,,5.125
2011-08-17,16.90999984741211,18.170000076293945,,5.090000152587891
2011-08-18,15.9399995803833,17.170000076293945,,4.875
2011-08-19,15.800000190734863,17.0,,4.809999942779541
2011-08-22,15.8100004196167,17.110000610351562,,4.864999771118164
2011-08-23,16.31999969482422,17.110000610351562,,4.804999828338623
2011-08-24,16.649999618530273,17.90999984741211,,5.019999980926514
2011-08-25,16.399999618530273,17.709999084472656,,5.065000057220459
2011-08-26,16.780000686645508,18.110000610351562,,4.900000095367432
2011-08-29,17.270000457763672,18.6200008392334,,5.170000076293945
2011-08-30,17.43000030517578,18.600000381469727,,5.164999961853027
2011-08-31,17.309999465942383,18.790000915527344,,5.199999809265137
2011-09-01,17.290000915527344,18.760000228881836,,5.164999961853027
2011-09-02,16.93000030517578,18.360000610351562,,5.03000020980835
2011-09-06,16.68000030517578,17.780000686645508,,4.90500020980835
2011-09-07,17.219999313354492,17.780000686645508,,5.119999885559082
2011-09-08,17.15999984741211,18.56999969482422,,5.125
2011-09-09,16.829999923706055,18.56999969482422,,5.125
2011-09-12,16.719999313354492,18.079999923706055,,4.96999979019165
2011-09-13,17.219999313354492,18.530000686645508,,5.0
2011-09-14,17.559999465942383,18.799999237060547,,5.110000133514404
2011-09-15,17.649999618530273,18.799999237060547,,5.110000133514404
2011-09-16,17.90999984741211,18.799999237060547,,5.199999809265137
2011-09-19,18.010000228881836,19.450000762939453,,5.199999809265137
2011-09-20,17.8799991607666,19.549999237060547,,5.199999809265137
2011-09-21,17.760000228881836,19.360000610351562,,5.110000133514404
2011-09-22,17.0,18.15999984741211,,4.809999942779541
2011-09-23,17.1299991607666,18.389999389648438,,4.860000133514404
2011-09-26,17.040000915527344,18.389999389648438,,4.960000038146973
2011-09-27,17.510000228881836,18.389999389648438,,5.090000152587891
2011-09-28,17.280000686645508,18.389999389648438,,5.0
2011-09-29,17.040000915527344,18.389999389648438,,4.889999866485596
2011-09-30,16.6200008392334,18.299999237060547,,4.849999904632568
2011-10-03,16.200000762939453,17.549999237060547,,4.715000152587891
2011-10-04,16.399999618530273,17.549999237060547,,4.650000095367432
2011-10-05,16.93000030517578,18.25,,4.860000133514404
2011-10-06,17.18000030517578,18.25,,4.940000057220459
2011-10-07,17.25,18.440000534057617,,5.0
2011-10-11,17.799999237060547,18.440000534057617,,5.125
2011-10-12,18.0,19.450000762939453,,5.199999809265137
2011-10-13,18.010000228881836,19.420000076293945,,5.150000095367432
2011-10-14,18.31999969482422,19.700000762939453,,5.150000095367432
2011-10-17,18.049999237060547,19.690000534057617,,5.179999828338623
2011-10-18,18.309999465942383,19.59000015258789,,5.179999828338623
2011-10-19,17.969999313354492,19.690000534057617,,5.239999771118164
2011-10-20,17.889999389648438,19.690000534057617,,5.139999866485596
2011-10-21,18.030000686645508,19.690000534057617,,5.275000095367432
2011-10-24,18.459999084472656,19.670000076293945,,5.364999771118164
2011-10-25,18.049999237060547,19.709999084472656,,5.295000076293945
2011-10-26,18.049999237060547,19.260000228881836,,5.260000228881836
2011-10-27,18.5,20.09000015258789,,5.480000019073486
2011-10-28,18.559999465942383,20.010000228881836,,5.489999771118164
2011-10-31,18.360000610351562,19.84000015258789,,5.360000133514404
2011-11-01,17.780000686645508,19.110000610351562,,5.230000019073486
2011-11-02,17.90999984741211,19.420000076293945,,5.25
2011-11-03,18.299999237060547,19.420000076293945,,5.394999980926514
2011-11-04,18.25,19.420000076293945,,5.355000019073486
2011-11-07,18.299999237060547,19.420000076293945,,5.375
2011-11-08,18.559999465942383,19.8799991607666,,5.425000190734863
2011-11-09,17.8700008392334,19.8799991607666,,5.25
2011-11-10,17.8799991607666,19.31999969482422,,5.295000076293945
2011-11-11,18.239999771118164,19.690000534057617,,5.295000076293945
2011-11-14,18.06999969482422,19.690000534057617,,5.349999904632568
2011-11-15,18.350000381469727,19.690000534057617,,5.375
2011-11-16,17.969999313354492,19.5,,5.304999828338623
2011-11-17,17.489999771118164,19.0,,5.179999828338623
2011-11-18,17.479999542236328,19.0,,5.210000038146973
2011-11-21,17.100000381469727,18.540000915527344,,5.114999771118164
2011-11-22,17.149999618530273,18.540000915527344,,5.059999942779541
2011-11-23,16.81999969482422,18.540000915527344,,5.005000114440918
2011-11-24,16.790000915527344,18.540000915527344,,4.974999904632568
2011-11-25,16.510000228881836,18.540000915527344,,4.965000152587891
