formatted_date,DFE.TO,DRME.TO,ELV.TO,EMV-B.TO,FLEM.TO,HEMB.TO,MEE.TO,MEME-B.TO,QEBL.TO,QEM.TO,RXD.TO,RXE.TO,VEE.TO,XEB.TO,XEC.TO,XEM.TO,XMM.TO,XSEM.TO,ZEF.TO,ZEM.TO,ZLE.TO,HAZ.TO,HXEM.TO
2011-07-21,,,,,,,,,,,,,,,,25.43000030517578,,,16.25,16.110000610351562,,12.268040657043457,
2011-07-22,,,,,,,,,,,,,,,,25.559999465942383,,,16.270000457763672,16.260000228881836,,12.195876121520996,
2011-07-25,,,,,,,,,,,,,,,,25.3799991607666,,,16.309999465942383,16.239999771118164,,12.144330024719238,
2011-07-26,,,,,,,,,,,,,,,,25.399999618530273,,,16.34200045776367,16.309999465942383,,12.123710632324219,
2011-07-27,,,,,,,,,,,,,,,,25.1299991607666,,,16.352044940883935,16.09000015258789,,12.157731632324218,
2011-07-28,,,,,,,,,,,,,,,,25.18000030517578,,,16.34200045776367,16.200000762939453,,12.00265940305011,
2011-07-29,,,,,,,,,,,,,,,,25.3799991607666,,,16.432398890056785,16.190000534057617,,11.919953257753445,
2011-08-02,,,,,,,,,,,,,,,,24.770000457763672,,,16.623238321974014,16.0,,11.847586217425528,
2011-08-03,,,,,,,,,,,,,,,,24.709999084472656,,,16.683505220695604,15.920000076293945,,11.847586217425528,
2011-08-04,,,,,,,,,,,,,,,,23.739999771118164,,,16.71363675426713,15.350000381469727,,11.42372021137535,
2011-08-05,,,,,,,,,,,,,,,,23.5,,,16.55292885592143,15.270000457763672,,11.175602731835829,
2011-08-08,,,,,,,,,,,,,,,,22.049999237060547,,,16.070805160884323,14.199999809265137,,10.751735769435177,
2011-08-09,,,,,,,,,,,,,,,,22.639999389648438,,,16.32191149152314,14.5600004196167,,11.041205843447795,
2011-08-10,,,,,,,,,,,,,,,,22.049999237060547,,,16.382176474455463,14.199999809265137,,10.927485252296307,
2011-08-11,,,,,,,,,,,,,,,,23.1299991607666,,,16.783946220319717,15.0,,11.185940880454103,
2011-08-12,,,,,,,,,,,,,,,,23.1200008392334,,,16.331955974643407,14.699999809265137,,11.372028511933507,
2011-08-15,,,,,,,,,,,,,,,,23.309999465942383,,,16.3620894240042,15.039999961853027,,11.620145991473027,
2011-08-16,,,,,,,,,,,,,,,,23.229999542236328,,,16.452485940508048,14.9399995803833,,11.506425400321541,
2011-08-17,,,,,,,,,,,,,,,,23.31999969482422,,,16.69354970381587,14.920000076293945,,11.599468737886006,
2011-08-18,,,,,,,,,,,,,,,,22.399999618530273,,,16.562973339041694,14.399999618530273,,11.309999620223863,
2011-08-19,,,,,,,,,,,,,,,,22.299999237060547,,,16.593106788402487,14.460000038146973,,11.278985174369042,
2011-08-22,,,,,,,,,,,,,,,,22.239999771118164,,,16.573017822161958,14.359999656677246,,11.278985174369042,
2011-08-23,,,,,,,,,,,,,,,,22.809999465942383,,,16.50270835610937,14.739999771118164,,11.609807842854753,
2011-08-24,,,,,,,,,,,,,,,,22.65999984741211,,,16.462530423628312,14.5,,11.55811614341291,
2011-08-25,,,,,,,,,,,,,,,,22.190000534057617,,,16.48261938986884,14.3100004196167,,11.444395552261424,
2011-08-26,,,,,,,,,,,,,,,,22.469999313354492,,,16.6553809285062,14.420000076293945,,11.55811614341291,
2011-08-29,,,,,,,,,,,,,,,,23.049999237060547,,,16.64529264146258,14.75,,11.664599651908627,
2011-08-30,,,,,,,,,,,,,,,,23.170000076293945,,,16.625116067375334,14.970000267028809,,11.861601620782658,
2011-08-31,,,,,,,,,,,,,,,,23.549999237060547,,,16.7058204395803,15.149999618530273,,11.861601620782658,
2011-09-01,,,,,,,,,,,,,,,,23.43000030517578,,,16.695732152536678,15.050000190734863,,11.861601620782658,
2011-09-02,,,,,,,,,,,,,,,,23.110000610351562,,,16.766350161842034,14.779999732971191,,11.560914909951663,
2011-09-06,,,,,,,,,,,,,,,,22.950000762939453,,,16.695732152536678,14.8100004196167,,11.467598642190396,
2011-09-07,,,,,,,,,,,,,,,,23.540000915527344,,,16.725997013667545,14.979999542236328,,11.76828535302139,
2011-09-08,,,,,,,,,,,,,,,,23.18000030517578,,,16.685645789637064,14.8100004196167,,11.820127723999873,
2011-09-09,,,,,,,,,,,,,,,,22.540000915527344,,,16.60493949328809,14.550000190734863,,11.612758240085945,
2011-09-12,,,,,,,,,,,,,,,,22.3799991607666,,,16.594853130388476,14.430000305175781,,11.405386837860418,
2011-09-13,,,,,,,,,,,,,,,,22.200000762939453,,,16.625116067375334,14.300000190734863,,11.477966157230291,
2011-09-14,,,,,,,,,,,,,,,,22.34000015258789,,,16.504060471139887,14.489999771118164,,11.529809487364574,
2011-09-15,,,,,,,,,,,,,,,,22.489999771118164,,,16.504060471139887,14.369999885559082,,11.529809487364574,
2011-09-16,,,,,,,,,,,,,,,,22.399999618530273,,,16.504060471139887,14.430000305175781,,11.76828535302139,
2011-09-19,,,,,,,,,,,,,,,,22.049999237060547,,,16.42335609893492,14.130000114440918,,11.664599651908627,
2011-09-20,,,,,,,,,,,,,,,,21.950000762939453,,,16.544411695170364,14.25,,11.871971054134153,
2011-09-21,,,,,,,,,,,,,,,,21.389999389648438,,,16.352738089629565,14.050000190734863,,11.633494229321537,
2011-09-22,,,,,,,,,,,,,,,,20.290000915527344,,,16.312386865599084,13.270000457763672,,11.353544466881935,
2011-09-23,,,,,,,,,,,,,,,,20.850000381469727,,,15.908865004574249,13.619999885559082,,11.363912941077631,
