formatted_date,HXS.TO,ZQQ.TO
2011-07-04,22.780000686645508,18.15999984741211
2011-07-05,22.940000534057617,18.440000534057617
2011-07-06,22.920000076293945,18.450000762939453
2011-07-07,23.219999313354492,18.75
2011-07-08,22.979999542236328,18.68000030517578
2011-07-11,22.700000762939453,18.299999237060547
2011-07-12,22.520000457763672,18.229999542236328
2011-07-13,22.700000762939453,18.25
2011-07-14,22.719999313354492,18.059999465942383
2011-07-15,22.440000534057617,18.239999771118164
2011-07-18,22.31999969482422,18.200000762939453
2011-07-19,22.739999771118164,18.610000610351562
2011-07-20,22.739999771118164,18.5
2011-07-21,23.020000457763672,18.670000076293945
2011-07-22,23.079999923706055,18.899999618530273
2011-07-25,22.860000610351562,18.81999969482422
2011-07-26,22.860000610351562,18.8700008392334
2011-07-27,22.399999618530273,18.3799991607666
2011-07-28,22.5,18.440000534057617
2011-07-29,22.18000030517578,18.389999389648438
2011-08-02,21.559999465942383,17.829999923706055
2011-08-03,21.440000534057617,18.0
2011-08-04,20.600000381469727,17.190000534057617
2011-08-05,20.579999923706055,17.0
2011-08-08,19.459999084472656,16.0
2011-08-09,19.780000686645508,16.530000686645508
2011-08-10,19.1200008392334,16.139999389648438
2011-08-11,19.979999542236328,16.950000762939453
2011-08-12,20.200000762939453,16.93000030517578
2011-08-15,20.200000762939453,17.149999618530273
2011-08-16,20.5,17.079999923706055
2011-08-17,20.360000610351562,16.90999984741211
2011-08-18,19.5,15.9399995803833
2011-08-19,19.239999771118164,15.800000190734863
2011-08-22,19.459999084472656,15.8100004196167
2011-08-23,19.219999313354492,16.31999969482422
2011-08-24,20.079999923706055,16.649999618530273
2011-08-25,20.260000228881836,16.399999618530273
2011-08-26,19.600000381469727,16.780000686645508
2011-08-29,20.68000030517578,17.270000457763672
2011-08-30,20.65999984741211,17.43000030517578
2011-08-31,20.799999237060547,17.309999465942383
2011-09-01,20.65999984741211,17.290000915527344
2011-09-02,20.1200008392334,16.93000030517578
2011-09-06,19.6200008392334,16.68000030517578
2011-09-07,20.479999542236328,17.219999313354492
2011-09-08,20.5,17.15999984741211
2011-09-09,20.5,16.829999923706055
2011-09-12,19.8799991607666,16.719999313354492
2011-09-13,20.0,17.219999313354492
2011-09-14,20.440000534057617,17.559999465942383
2011-09-15,20.440000534057617,17.649999618530273
2011-09-16,20.799999237060547,17.90999984741211
2011-09-19,20.799999237060547,18.010000228881836
2011-09-20,20.799999237060547,17.8799991607666
2011-09-21,20.440000534057617,17.760000228881836
2011-09-22,19.239999771118164,17.0
2011-09-23,19.440000534057617,17.1299991607666
2011-09-26,19.84000015258789,17.040000915527344
2011-09-27,20.360000610351562,17.510000228881836
2011-09-28,20.0,17.280000686645508
2011-09-29,19.559999465942383,17.040000915527344
2011-09-30,19.399999618530273,16.6200008392334
2011-10-03,18.860000610351562,16.200000762939453
2011-10-04,18.600000381469727,16.399999618530273
2011-10-05,19.440000534057617,16.93000030517578
2011-10-06,19.760000228881836,17.18000030517578
2011-10-07,20.0,17.25
2011-10-11,20.5,17.799999237060547
2011-10-12,20.799999237060547,18.0
2011-10-13,20.600000381469727,18.010000228881836
2011-10-14,20.600000381469727,18.31999969482422
2011-10-17,20.719999313354492,18.049999237060547
2011-10-18,20.719999313354492,18.309999465942383
2011-10-19,20.959999084472656,17.969999313354492
2011-10-20,20.559999465942383,17.889999389648438
2011-10-21,21.100000381469727,18.030000686645508
2011-10-24,21.459999084472656,18.459999084472656
2011-10-25,21.18000030517578,18.049999237060547
2011-10-26,21.040000915527344,18.049999237060547
2011-10-27,21.920000076293945,18.5
2011-10-28,21.959999084472656,18.559999465942383
2011-10-31,21.440000534057617,18.360000610351562
2011-11-01,20.920000076293945,17.780000686645508
2011-11-02,21.0,17.90999984741211
2011-11-03,21.579999923706055,18.299999237060547
2011-11-04,21.420000076293945,18.25
2011-11-07,21.5,18.299999237060547
2011-11-08,21.700000762939453,18.559999465942383
2011-11-09,21.0,17.8700008392334
2011-11-10,21.18000030517578,17.8799991607666
2011-11-11,21.18000030517578,18.239999771118164
2011-11-14,21.399999618530273,18.06999969482422
2011-11-15,21.5,18.350000381469727
2011-11-16,21.219999313354492,17.969999313354492
2011-11-17,20.719999313354492,17.489999771118164
2011-11-18,20.84000015258789,17.479999542236328
2011-11-21,20.459999084472656,17.100000381469727
2011-11-22,20.239999771118164,17.149999618530273
2011-11-23,20.020000457763672,16.81999969482422
2011-11-24,19.899999618530273,16.790000915527344
2011-11-25,19.860000610351562,16.510000228881836
2011-11-28,20.479999542236328,17.110000610351562
2011-11-29,20.440000534057617,17.110000610351562
2011-11-30,21.299999237060547,17.719999313354492
2011-12-01,21.299999237060547,17.81999969482422
2011-12-02,21.559999465942383,17.8799991607666
2011-12-05,21.420000076293945,17.969999313354492
2011-12-06,21.559999465942383,18.020000457763672
2011-12-07,21.5,17.989999771118164
2011-12-08,21.280000686645508,17.690000534057617
2011-12-09,21.299999237060547,17.989999771118164
2011-12-12,21.219999313354492,17.690000534057617
2011-12-13,21.260000228881836,17.540000915527344
2011-12-14,20.719999313354492,17.299999237060547
2011-12-15,20.860000610351562,17.25
2011-12-16,20.860000610351562,17.31999969482422
2011-12-19,20.600000381469727,17.1200008392334
2011-12-20,21.239999771118164,17.670000076293945
2011-12-21,21.239999771118164,17.329999923706055
2011-12-22,21.399999618530273,17.540000915527344
2011-12-23,21.600000381469727,17.733000839233398
2011-12-28,21.440000534057617,17.563000762939453
2011-12-29,21.600000381469727,17.68299969482422
2011-12-30,21.579999923706055,17.653000915527343
