,formatted_date,HXS.TO
0,2018-06-26,68.4800033569336
1,2018-06-27,68.25
2,2018-06-28,68.05999755859375
3,2018-06-29,67.73999786376953
4,2018-07-03,68.27999877929688
5,2018-07-04,68.0
6,2018-07-05,67.91999816894531
7,2018-07-06,68.30999755859375
8,2018-07-09,68.97000122070312
9,2018-07-10,69.26000213623047
10,2018-07-11,69.26000213623047
11,2018-07-12,69.63999938964844
12,2018-07-13,69.69999694824219
13,2018-07-16,69.5199966430664
14,2018-07-17,70.06999969482422
15,2018-07-18,70.05999755859375
16,2018-07-19,70.3499984741211
17,2018-07-20,69.54000091552734
18,2018-07-23,69.86000061035156
19,2018-07-24,70.1500015258789
20,2018-07-25,69.91000366210938
21,2018-07-26,70.12999725341797
22,2018-07-27,69.56999969482422
23,2018-07-30,69.05999755859375
24,2018-07-31,69.2699966430664
25,2018-08-01,69.13999938964844
26,2018-08-02,69.61000061035156
27,2018-08-03,69.66999816894531
28,2018-08-07,70.48999786376953
29,2018-08-08,70.37000274658203
30,2018-08-09,70.4000015258789
31,2018-08-10,70.38999938964844
32,2018-08-13,70.0999984741211
33,2018-08-14,70.2300033569336
34,2018-08-15,70.0999984741211
35,2018-08-16,70.68000030517578
36,2018-08-17,70.37999725341797
37,2018-08-20,70.55000305175781
38,2018-08-21,70.69000244140625
39,2018-08-22,70.37999725341797
40,2018-08-23,70.9800033569336
41,2018-08-24,70.91999816894531
42,2018-08-27,71.08999633789062
43,2018-08-28,70.94000244140625
44,2018-08-29,71.19999694824219
45,2018-08-30,71.29000091552734
46,2018-08-31,71.63999938964844
47,2018-09-04,72.30000305175781
48,2018-09-05,72.08999633789062
49,2018-09-06,71.69999694824219
50,2018-09-07,71.7300033569336
51,2018-09-10,71.77999877929688
52,2018-09-11,71.73999786376953
53,2018-09-12,71.16999816894531
54,2018-09-13,71.4800033569336
55,2018-09-14,71.80999755859375
56,2018-09-17,71.30000305175781
57,2018-09-18,71.54000091552734
58,2018-09-19,71.30000305175781
59,2018-09-20,71.72000122070312
60,2018-09-21,71.69999694824219
61,2018-09-24,71.58999633789062
62,2018-09-25,71.5999984741211
63,2018-09-26,71.63999938964844
64,2018-09-27,72.0199966430664
65,2018-09-28,71.37000274658203
66,2018-10-01,70.83999633789062
67,2018-10-02,71.05999755859375
68,2018-10-03,71.2300033569336
69,2018-10-04,71.08000183105469
70,2018-10-05,70.83000183105469
71,2018-10-09,70.80999755859375
72,2018-10-10,69.0
73,2018-10-11,67.5999984741211
74,2018-10-12,68.5
75,2018-10-15,67.9000015258789
76,2018-10-16,69.0199966430664
77,2018-10-17,69.16000366210938
78,2018-10-18,68.6500015258789
79,2018-10-19,68.81999969482422
80,2018-10-22,68.5199966430664
81,2018-10-23,68.04000091552734
82,2018-10-24,65.69999694824219
83,2018-10-25,67.0999984741211
84,2018-10-26,65.9000015258789
85,2018-10-29,65.6500015258789
86,2018-10-30,66.80000305175781
87,2018-10-31,67.68000030517578
88,2018-11-01,68.05000305175781
89,2018-11-02,67.66000366210938
90,2018-11-05,68.08000183105469
91,2018-11-06,68.66000366210938
92,2018-11-07,70.0199966430664
93,2018-11-08,70.02999877929688
94,2018-11-09,69.7300033569336
95,2018-11-12,68.58000183105469
96,2018-11-13,68.47000122070312
97,2018-11-14,67.8499984741211
98,2018-11-15,68.29000091552734
99,2018-11-16,68.38999938964844
100,2018-11-19,67.36000061035156
101,2018-11-20,66.83000183105469
102,2018-11-21,66.7300033569336
103,2018-11-22,66.33000183105469
104,2018-11-23,66.44999694824219
105,2018-11-26,67.30999755859375
106,2018-11-27,67.72000122070312
107,2018-11-28,69.13999938964844
108,2018-11-29,69.33999633789062
109,2018-11-30,69.5999984741211
110,2018-12-03,70.05000305175781
111,2018-12-04,68.0199966430664
112,2018-12-05,68.80999755859375
113,2018-12-06,68.51000213623047
114,2018-12-07,66.66999816894531
115,2018-12-10,67.31999969482422
116,2018-12-11,67.4000015258789
117,2018-12-12,67.4000015258789
118,2018-12-13,67.25
119,2018-12-14,66.19999694824219
120,2018-12-17,64.66000366210938
121,2018-12-18,65.30000305175781
122,2018-12-19,64.45999908447266
123,2018-12-20,63.06999969482422
124,2018-12-21,62.599998474121094
125,2018-12-24,60.95000076293945
126,2018-12-27,64.25
127,2018-12-28,64.52999877929688
128,2018-12-31,64.95999908447266
129,2019-01-02,64.91000366210938
130,2019-01-03,62.79999923706055
131,2019-01-04,64.5999984741211
132,2019-01-07,64.55999755859375
133,2019-01-08,65.04000091552734
134,2019-01-09,64.93000030517578
135,2019-01-10,65.45999908447266
136,2019-01-11,65.61000061035156
137,2019-01-14,65.30999755859375
138,2019-01-15,65.91000366210938
139,2019-01-16,66.08999633789062
140,2019-01-17,66.44999694824219
141,2019-01-18,67.54000091552734
142,2019-01-21,67.80000305175781
143,2019-01-22,66.83000183105469
144,2019-01-23,67.0
145,2019-01-24,67.19999694824219
146,2019-01-25,67.08000183105469
147,2019-01-28,66.63999938964844
148,2019-01-29,66.75
149,2019-01-30,67.12000274658203
150,2019-01-31,67.73999786376953
151,2019-02-01,67.5
152,2019-02-04,68.0
153,2019-02-05,68.5
154,2019-02-06,68.72000122070312
155,2019-02-07,68.52999877929688
156,2019-02-08,68.44999694824219
157,2019-02-11,68.73999786376953
158,2019-02-12,69.25
159,2019-02-13,69.54000091552734
160,2019-02-14,69.58999633789062
161,2019-02-15,70.08999633789062
162,2019-02-19,70.02999877929688
163,2019-02-20,69.97000122070312
164,2019-02-21,69.87999725341797
165,2019-02-22,69.9000015258789
